transaction_id,customer_id,beneficiary_id,amount,timestamp,country,channel,device_id,merchant_category
T000226,C014,B242,43612.77,2025-01-03 10:18:41,USA,RTGS,DEV-02-C014,Crypto Exchange
T001566,C114,B169,23633.29,2025-01-03 12:29:46,Singapore,Cash Deposit,DEV-03-C114,Utilities
T000264,C016,B286,8572.43,2025-01-03 13:10:33,USA,Cash Deposit,DEV-03-C016,Dining
T000323,C020,B179,17132.84,2025-01-03 14:08:45,UK,NEFT,DEV-02-C020,Jewelry
T001826,C134,B237,39222.42,2025-01-03 14:15:25,India,Cash Deposit,DEV-03-C134,Entertainment
T001807,C132,B251,21454.1,2025-01-03 14:32:17,UAE,IMPS,DEV-01-C132,Healthcare
T000750,C054,B146,20538.7,2025-01-03 15:57:51,UK,NEFT,DEV-01-C054,Crypto Exchange
T001648,C119,B012,1730.03,2025-01-03 16:59:28,USA,RTGS,DEV-02-C119,Electronics
T001668,C120,B249,19009.4,2025-01-03 17:11:34,UAE,IMPS,DEV-03-C120,Healthcare
T000137,C008,B173,28038.5,2025-01-03 18:52:33,UK,UPI,DEV-01-C008,Entertainment
T000744,C054,B292,11494.02,2025-01-03 19:27:14,UAE,IMPS,DEV-01-C054,Groceries
T001761,C127,B184,4874.37,2025-01-03 21:56:45,USA,NEFT,DEV-01-C127,Dining
T000576,C038,B290,13958.72,2025-01-03 23:54:38,UAE,UPI,DEV-01-C038,Dining
T000163,C009,B150,5548.3,2025-01-04 04:03:22,UAE,UPI,DEV-03-C009,Dining
T000745,C054,B128,13927.01,2025-01-04 05:03:40,UK,NEFT,DEV-02-C054,Electronics
T000217,C013,B226,13588.08,2025-01-04 05:44:41,USA,UPI,DEV-03-C013,Travel
T001947,C143,B126,5640.01,2025-01-04 07:12:32,India,IMPS,DEV-02-C143,Entertainment
T001014,C073,B015,16286.86,2025-01-04 09:55:01,Nigeria,UPI,DEV-02-C073,Entertainment
T001304,C093,B072,13854.03,2025-01-04 11:10:58,UAE,NEFT,DEV-03-C093,Crypto Exchange
T000825,C060,B212,11953.88,2025-01-04 11:29:40,USA,RTGS,DEV-01-C060,Utilities
T001170,C086,B185,6018.38,2025-01-04 11:30:48,India,UPI,DEV-02-C086,Fuel
T000200,C012,B278,8753.06,2025-01-04 11:39:03,USA,NEFT,DEV-01-C012,Dining
T000073,C004,B280,28961.7,2025-01-04 11:57:05,Singapore,RTGS,DEV-03-C004,Travel
T000344,C021,B130,8729.1,2025-01-04 13:19:57,Nigeria,IMPS,DEV-02-C021,Fuel
T000544,C037,B279,4134.51,2025-01-04 13:40:08,Singapore,Cash Deposit,DEV-03-C037,Crypto Exchange
T001717,C125,B186,7284.03,2025-01-04 13:44:27,Singapore,SWIFT,DEV-03-C125,Crypto Exchange
T001607,C116,B149,12868.79,2025-01-04 14:15:22,UK,SWIFT,DEV-02-C116,Jewelry
T000735,C053,B243,11606.76,2025-01-04 15:18:04,UAE,UPI,DEV-02-C053,Travel
T000294,C019,B232,20033.76,2025-01-04 15:37:52,India,UPI,DEV-02-C019,Utilities
T001294,C093,B001,4892.95,2025-01-04 16:09:48,Nigeria,SWIFT,DEV-02-C093,Travel
T000879,C064,B170,10724.63,2025-01-04 16:16:53,India,NEFT,DEV-01-C064,Travel
T000686,C050,B252,4170.93,2025-01-04 16:27:42,India,NEFT,DEV-01-C050,Crypto Exchange
T000736,C053,B206,6952.03,2025-01-04 18:22:11,UK,UPI,DEV-03-C053,Electronics
T000622,C043,B111,48338.58,2025-01-04 20:48:11,India,SWIFT,DEV-03-C043,Dining
T000863,C063,B080,14841.97,2025-01-04 21:04:05,UAE,UPI,DEV-03-C063,Groceries
T000913,C067,B184,14537.73,2025-01-04 22:11:06,UAE,SWIFT,DEV-01-C067,Utilities
T002038,C148,B062,30484.13,2025-01-04 23:37:39,USA,Cash Deposit,DEV-01-C148,Electronics
T001092,C079,B269,33161.92,2025-01-04 23:57:41,Singapore,RTGS,DEV-03-C079,Travel
T000380,C023,B289,11897.27,2025-01-04 23:59:22,India,NEFT,DEV-01-C023,Crypto Exchange
T002124,C920,B600,5000.0,2025-01-05 00:00:00,Nigeria,IMPS,DEV-03-C920,Jewelry
T001409,C101,B252,9470.62,2025-01-05 02:24:35,Singapore,RTGS,DEV-02-C101,Entertainment
T000352,C022,B229,35521.29,2025-01-05 02:41:40,Nigeria,UPI,DEV-03-C022,Healthcare
T001333,C096,B233,1910.87,2025-01-05 04:56:13,India,Cash Deposit,DEV-01-C096,Jewelry
T001570,C114,B169,12799.39,2025-01-05 06:10:15,Nigeria,RTGS,DEV-02-C114,Fuel
T001846,C135,B189,3616.99,2025-01-05 06:23:06,India,IMPS,DEV-02-C135,Dining
T000070,C004,B142,58383.98,2025-01-05 06:43:46,India,UPI,DEV-01-C004,Dining
T000718,C052,B229,10325.18,2025-01-05 07:57:53,Singapore,SWIFT,DEV-02-C052,Dining
T001590,C115,B202,18014.3,2025-01-05 09:27:37,India,SWIFT,DEV-03-C115,Dining
T000402,C025,B021,4136.52,2025-01-05 09:33:52,India,IMPS,DEV-03-C025,Fuel
T002045,C149,B149,8257.19,2025-01-05 09:53:42,USA,NEFT,DEV-03-C149,Electronics
T000151,C008,B141,25237.03,2025-01-05 10:03:33,India,RTGS,DEV-02-C008,Travel
T000489,C033,B212,8264.69,2025-01-05 10:31:28,USA,IMPS,DEV-03-C033,Travel
T000330,C021,B063,5396.71,2025-01-05 15:15:51,UAE,SWIFT,DEV-03-C021,Crypto Exchange
T001837,C134,B003,5543.73,2025-01-05 17:23:49,UK,IMPS,DEV-01-C134,Fuel
T001165,C086,B107,20847.12,2025-01-05 17:59:20,UAE,IMPS,DEV-01-C086,Fuel
T000803,C058,B238,9908.14,2025-01-05 20:41:43,India,IMPS,DEV-01-C058,Dining
T000102,C006,B238,18067.03,2025-01-05 21:01:02,USA,IMPS,DEV-01-C006,Entertainment
T000237,C014,B011,13824.46,2025-01-05 21:51:23,Singapore,IMPS,DEV-01-C014,Crypto Exchange
T000426,C027,B125,4003.26,2025-01-05 22:17:31,Nigeria,RTGS,DEV-01-C027,Electronics
T000397,C024,B206,9941.95,2025-01-05 23:12:21,USA,RTGS,DEV-01-C024,Fuel
T000602,C040,B085,35135.59,2025-01-06 00:40:23,UK,Cash Deposit,DEV-02-C040,Electronics
T002031,C147,B001,27042.01,2025-01-06 01:28:23,Nigeria,Cash Deposit,DEV-02-C147,Electronics
T001269,C092,B060,4961.61,2025-01-06 02:23:16,UAE,SWIFT,DEV-02-C092,Entertainment
T001330,C095,B142,12837.14,2025-01-06 03:39:35,UAE,NEFT,DEV-01-C095,Entertainment
T001237,C091,B282,10941.33,2025-01-06 03:47:44,India,Cash Deposit,DEV-03-C091,Fuel
T000771,C056,B241,11762.15,2025-01-06 05:04:34,Nigeria,RTGS,DEV-03-C056,Crypto Exchange
T001299,C093,B206,21884.1,2025-01-06 08:36:46,Nigeria,Cash Deposit,DEV-01-C093,Fuel
T001399,C101,B262,12079.16,2025-01-06 10:36:01,Nigeria,UPI,DEV-02-C101,Travel
T002137,C930,B709,8864.59,2025-01-06 12:57:22,Nigeria,IMPS,DEV-03-C930,Jewelry
T001809,C133,B233,15869.39,2025-01-06 13:52:32,Singapore,RTGS,DEV-01-C133,Travel
T002003,C146,B250,5523.61,2025-01-06 13:58:37,Singapore,NEFT,DEV-03-C146,Entertainment
T001934,C142,B193,9978.46,2025-01-06 17:02:35,Singapore,IMPS,DEV-03-C142,Electronics
T000588,C039,B211,40317.02,2025-01-06 18:08:46,Singapore,Cash Deposit,DEV-01-C039,Travel
T000689,C050,B166,30817.42,2025-01-06 18:46:31,India,IMPS,DEV-03-C050,Travel
T001854,C135,B041,8656.27,2025-01-06 19:37:50,UAE,UPI,DEV-02-C135,Dining
T000996,C072,B084,39619.37,2025-01-06 19:53:41,UAE,UPI,DEV-02-C072,Utilities
T001112,C081,B088,17302.41,2025-01-06 20:03:59,Singapore,IMPS,DEV-03-C081,Crypto Exchange
T001700,C123,B001,16938.16,2025-01-06 20:13:04,UK,UPI,DEV-03-C123,Dining
T000045,C002,B051,12966.74,2025-01-06 21:14:15,UK,Cash Deposit,DEV-02-C002,Utilities
T001692,C122,B138,7266.46,2025-01-06 21:16:57,Singapore,SWIFT,DEV-03-C122,Healthcare
T000473,C032,B141,9447.45,2025-01-06 22:02:29,USA,RTGS,DEV-03-C032,Travel
T000674,C049,B246,2801.5,2025-01-06 22:05:29,India,UPI,DEV-02-C049,Travel
T001900,C139,B005,53266.74,2025-01-06 22:16:18,Singapore,NEFT,DEV-03-C139,Crypto Exchange
T000111,C007,B213,5049.5,2025-01-07 01:05:22,UAE,SWIFT,DEV-02-C007,Crypto Exchange
T000331,C021,B235,13524.46,2025-01-07 02:21:04,India,SWIFT,DEV-03-C021,Jewelry
T001731,C126,B160,1737.72,2025-01-07 02:26:14,Nigeria,Cash Deposit,DEV-01-C126,Groceries
T001318,C094,B172,3674.22,2025-01-07 03:19:03,India,UPI,DEV-01-C094,Healthcare
T000530,C036,B075,8353.79,2025-01-07 03:25:23,UAE,SWIFT,DEV-02-C036,Healthcare
T000110,C006,B110,6295.36,2025-01-07 05:39:50,UK,SWIFT,DEV-02-C006,Jewelry
T001456,C106,B087,20523.08,2025-01-07 06:47:10,Singapore,IMPS,DEV-02-C106,Electronics
T001191,C087,B182,15204.92,2025-01-07 10:17:15,UAE,UPI,DEV-01-C087,Fuel
T000555,C037,B164,7463.85,2025-01-07 12:31:39,Singapore,NEFT,DEV-03-C037,Utilities
T000356,C022,B065,22321.39,2025-01-07 12:39:54,UAE,Cash Deposit,DEV-02-C022,Fuel
T001850,C135,B247,5294.05,2025-01-07 13:19:04,Singapore,NEFT,DEV-03-C135,Crypto Exchange
T002043,C149,B224,30287.03,2025-01-07 13:46:20,UK,SWIFT,DEV-03-C149,Jewelry
T000609,C041,B074,9929.43,2025-01-07 15:24:38,USA,RTGS,DEV-01-C041,Crypto Exchange
T000238,C014,B106,9204.31,2025-01-07 15:52:23,USA,IMPS,DEV-03-C014,Electronics
T000131,C008,B190,21255.8,2025-01-07 16:40:51,USA,Cash Deposit,DEV-02-C008,Groceries
T001289,C093,B226,10288.13,2025-01-07 17:42:36,UK,IMPS,DEV-03-C093,Healthcare
T002067,C150,B097,7230.41,2025-01-07 17:50:23,UAE,NEFT,DEV-02-C150,Electronics
T000039,C002,B004,8971.48,2025-01-07 21:25:33,Nigeria,Cash Deposit,DEV-01-C002,Electronics
T000164,C009,B233,18698.0,2025-01-07 21:51:39,Nigeria,IMPS,DEV-02-C009,Crypto Exchange
T001101,C080,B125,9709.8,2025-01-07 22:56:33,Singapore,SWIFT,DEV-02-C080,Crypto Exchange
T001243,C091,B006,26680.5,2025-01-07 23:10:49,Nigeria,NEFT,DEV-01-C091,Entertainment
T001873,C137,B247,29796.31,2025-01-07 23:37:53,Singapore,IMPS,DEV-03-C137,Entertainment
T001547,C112,B132,12705.55,2025-01-08 02:13:54,India,RTGS,DEV-01-C112,Groceries
T000894,C066,B282,15239.89,2025-01-08 02:26:21,Singapore,Cash Deposit,DEV-01-C066,Dining
T001969,C144,B217,15884.95,2025-01-08 05:16:14,USA,UPI,DEV-02-C144,Healthcare
T001730,C126,B217,9966.92,2025-01-08 05:27:31,UAE,IMPS,DEV-01-C126,Fuel
T000128,C008,B102,19374.76,2025-01-08 09:05:04,USA,Cash Deposit,DEV-03-C008,Electronics
T001824,C134,B189,31348.05,2025-01-08 10:20:10,India,RTGS,DEV-02-C134,Healthcare
T001565,C114,B214,42627.73,2025-01-08 11:02:22,UAE,SWIFT,DEV-03-C114,Utilities
T001833,C134,B087,13330.09,2025-01-08 12:47:12,Nigeria,NEFT,DEV-03-C134,Dining
T001434,C104,B058,16446.82,2025-01-08 13:08:10,India,SWIFT,DEV-02-C104,Groceries
T001089,C079,B196,2125.34,2025-01-08 14:51:56,India,UPI,DEV-02-C079,Healthcare
T000822,C060,B121,62295.12,2025-01-08 15:41:18,UK,SWIFT,DEV-03-C060,Entertainment
T000723,C053,B154,22065.25,2025-01-08 15:58:42,UK,Cash Deposit,DEV-01-C053,Jewelry
T000625,C044,B159,12607.43,2025-01-08 16:08:00,USA,IMPS,DEV-01-C044,Jewelry
T000350,C021,B053,43627.0,2025-01-08 18:34:26,Singapore,Cash Deposit,DEV-02-C021,Dining
T001568,C114,B015,10655.46,2025-01-08 20:53:27,UK,Cash Deposit,DEV-03-C114,Entertainment
T001710,C124,B276,16798.09,2025-01-08 21:05:25,Nigeria,Cash Deposit,DEV-01-C124,Jewelry
T000715,C052,B150,3413.66,2025-01-08 22:55:29,UK,NEFT,DEV-02-C052,Healthcare
T001096,C080,B173,21168.88,2025-01-09 00:20:38,UK,RTGS,DEV-03-C080,Groceries
T001830,C134,B035,28240.22,2025-01-09 00:21:08,USA,Cash Deposit,DEV-01-C134,Entertainment
T000321,C020,B146,14247.77,2025-01-09 03:26:35,UAE,UPI,DEV-02-C020,Jewelry
T001533,C111,B102,4733.46,2025-01-09 04:39:49,UK,UPI,DEV-01-C111,Healthcare
T001303,C093,B250,19201.43,2025-01-09 05:44:38,Nigeria,SWIFT,DEV-03-C093,Electronics
T001736,C126,B064,18451.93,2025-01-09 07:18:37,India,NEFT,DEV-02-C126,Fuel
T000720,C052,B050,14851.19,2025-01-09 07:42:45,Nigeria,UPI,DEV-03-C052,Healthcare
T001545,C112,B235,10858.67,2025-01-09 07:47:08,India,SWIFT,DEV-01-C112,Fuel
T000552,C037,B213,7496.58,2025-01-09 08:03:22,India,Cash Deposit,DEV-01-C037,Fuel
T000628,C044,B126,12516.95,2025-01-09 08:53:25,UK,NEFT,DEV-02-C044,Crypto Exchange
T000644,C045,B168,4652.48,2025-01-09 09:17:34,USA,SWIFT,DEV-01-C045,Fuel
T000961,C070,B081,12128.29,2025-01-09 10:21:30,Singapore,SWIFT,DEV-02-C070,Healthcare
T001597,C116,B155,7557.34,2025-01-09 12:12:16,UAE,IMPS,DEV-01-C116,Electronics
T001924,C141,B149,33388.26,2025-01-09 12:18:36,India,NEFT,DEV-02-C141,Crypto Exchange
T000364,C022,B228,28127.44,2025-01-09 12:34:02,Nigeria,UPI,DEV-03-C022,Fuel
T001117,C082,B273,10398.92,2025-01-09 13:06:10,UAE,IMPS,DEV-03-C082,Entertainment
T001406,C101,B193,20634.2,2025-01-09 14:05:57,India,SWIFT,DEV-03-C101,Dining
T002132,C930,B709,5179.97,2025-01-09 15:55:09,India,IMPS,DEV-03-C930,Entertainment
T001235,C091,B177,16272.14,2025-01-09 16:03:17,USA,NEFT,DEV-03-C091,Jewelry
T001703,C124,B154,15534.04,2025-01-09 17:03:04,UK,Cash Deposit,DEV-01-C124,Travel
T000801,C058,B077,36168.74,2025-01-09 17:54:28,USA,NEFT,DEV-03-C058,Utilities
T001439,C104,B015,11344.91,2025-01-09 19:31:52,UAE,Cash Deposit,DEV-02-C104,Crypto Exchange
T001154,C085,B064,30608.26,2025-01-09 20:29:27,India,Cash Deposit,DEV-02-C085,Fuel
T000256,C015,B035,2343.91,2025-01-09 20:34:08,India,NEFT,DEV-02-C015,Utilities
T000171,C010,B014,16451.05,2025-01-09 20:48:25,UAE,Cash Deposit,DEV-03-C010,Crypto Exchange
T001658,C119,B042,35926.73,2025-01-09 22:57:17,India,SWIFT,DEV-01-C119,Entertainment
T000008,C001,B053,19758.52,2025-01-10 00:06:48,UK,NEFT,DEV-02-C001,Fuel
T000526,C036,B284,9233.64,2025-01-10 00:51:19,USA,RTGS,DEV-02-C036,Healthcare
T001990,C145,B123,3147.19,2025-01-10 02:10:55,UAE,RTGS,DEV-01-C145,Utilities
T001083,C079,B080,16774.63,2025-01-10 03:42:17,India,SWIFT,DEV-02-C079,Travel
T000303,C019,B169,14385.77,2025-01-10 04:12:53,USA,Cash Deposit,DEV-02-C019,Dining
T001490,C109,B297,21649.34,2025-01-10 04:44:43,USA,UPI,DEV-02-C109,Utilities
T001848,C135,B129,22035.94,2025-01-10 04:46:15,USA,UPI,DEV-03-C135,Healthcare
T001979,C145,B251,6560.65,2025-01-10 06:37:32,USA,UPI,DEV-03-C145,Crypto Exchange
T000653,C046,B298,11624.54,2025-01-10 06:42:38,USA,IMPS,DEV-03-C046,Healthcare
T000875,C064,B043,11338.48,2025-01-10 07:35:40,UAE,RTGS,DEV-03-C064,Groceries
T001061,C078,B057,10835.12,2025-01-10 08:17:36,USA,Cash Deposit,DEV-01-C078,Groceries
T001901,C139,B022,24784.24,2025-01-10 09:39:28,UAE,RTGS,DEV-01-C139,Healthcare
T001891,C139,B001,11871.78,2025-01-10 09:43:30,India,Cash Deposit,DEV-02-C139,Jewelry
T002034,C147,B058,14100.22,2025-01-10 09:45:48,Nigeria,NEFT,DEV-03-C147,Jewelry
T001215,C090,B240,36268.57,2025-01-10 10:38:21,UK,UPI,DEV-03-C090,Entertainment
T000767,C055,B151,17803.03,2025-01-10 11:25:53,UK,IMPS,DEV-03-C055,Dining
T001228,C090,B285,5693.89,2025-01-10 11:33:00,UK,IMPS,DEV-02-C090,Healthcare
T000941,C069,B295,5895.5,2025-01-10 11:41:48,UK,IMPS,DEV-02-C069,Entertainment
T000048,C003,B282,10477.48,2025-01-10 12:08:37,India,Cash Deposit,DEV-03-C003,Groceries
T001657,C119,B233,14321.11,2025-01-10 12:19:41,UAE,Cash Deposit,DEV-02-C119,Healthcare
T002039,C148,B229,58992.79,2025-01-10 13:50:30,India,RTGS,DEV-03-C148,Fuel
T001689,C122,B200,29244.12,2025-01-10 14:05:26,Singapore,IMPS,DEV-02-C122,Fuel
T001063,C078,B099,21904.47,2025-01-10 14:06:45,India,RTGS,DEV-03-C078,Healthcare
T000598,C040,B024,27864.77,2025-01-10 16:01:33,Nigeria,SWIFT,DEV-01-C040,Utilities
T001462,C107,B016,33713.47,2025-01-10 16:05:33,Nigeria,NEFT,DEV-01-C107,Entertainment
T000196,C011,B226,11871.47,2025-01-10 16:20:42,USA,SWIFT,DEV-01-C011,Travel
T000062,C003,B289,9443.69,2025-01-10 16:58:23,India,RTGS,DEV-01-C003,Jewelry
T000427,C027,B027,19426.12,2025-01-10 17:28:41,UK,UPI,DEV-03-C027,Entertainment
T000149,C008,B145,7660.01,2025-01-10 18:14:34,UAE,UPI,DEV-01-C008,Fuel
T001070,C078,B050,19203.79,2025-01-10 19:52:17,Nigeria,IMPS,DEV-03-C078,Healthcare
T001847,C135,B256,11853.2,2025-01-10 21:14:34,Nigeria,RTGS,DEV-03-C135,Travel
T000152,C008,B252,49453.81,2025-01-10 23:02:47,India,RTGS,DEV-02-C008,Entertainment
T001605,C116,B005,108881.86,2025-01-10 23:13:24,Nigeria,Cash Deposit,DEV-02-C116,Healthcare
T000288,C018,B121,14148.46,2025-01-10 23:33:06,UAE,UPI,DEV-01-C018,Travel
T000916,C068,B166,27887.85,2025-01-11 00:31:54,Nigeria,RTGS,DEV-03-C068,Dining
T001292,C093,B133,18178.62,2025-01-11 00:40:35,India,NEFT,DEV-01-C093,Crypto Exchange
T000810,C059,B082,8172.45,2025-01-11 01:40:08,UK,RTGS,DEV-02-C059,Crypto Exchange
T001011,C073,B043,13554.65,2025-01-11 02:10:14,Singapore,RTGS,DEV-01-C073,Utilities
T001806,C132,B088,13814.11,2025-01-11 03:04:02,Nigeria,RTGS,DEV-01-C132,Groceries
T002138,C930,B700,3927.37,2025-01-11 05:21:43,Singapore,SWIFT,DEV-01-C930,Crypto Exchange
T001929,C141,B114,10233.06,2025-01-11 08:21:47,UK,NEFT,DEV-03-C141,Entertainment
T000502,C034,B092,8670.1,2025-01-11 09:21:58,India,RTGS,DEV-01-C034,Electronics
T001435,C104,B101,40991.91,2025-01-11 11:13:57,India,Cash Deposit,DEV-03-C104,Crypto Exchange
T002017,C146,B057,6588.86,2025-01-11 11:22:39,India,IMPS,DEV-01-C146,Fuel
T000903,C066,B283,7712.7,2025-01-11 13:35:54,UAE,Cash Deposit,DEV-03-C066,Utilities
T000425,C027,B071,1925.94,2025-01-11 14:30:58,USA,Cash Deposit,DEV-03-C027,Electronics
T001174,C086,B030,20583.62,2025-01-11 14:41:33,USA,Cash Deposit,DEV-03-C086,Jewelry
T000545,C037,B044,34493.72,2025-01-11 14:50:57,UAE,Cash Deposit,DEV-03-C037,Fuel
T002029,C147,B156,11918.47,2025-01-11 16:26:47,Singapore,UPI,DEV-02-C147,Fuel
T001363,C098,B027,6766.24,2025-01-11 18:34:14,UK,UPI,DEV-02-C098,Crypto Exchange
T001196,C087,B090,2544.46,2025-01-11 21:31:04,Singapore,NEFT,DEV-01-C087,Utilities
T001106,C081,B044,25798.42,2025-01-11 21:50:42,Nigeria,NEFT,DEV-01-C081,Crypto Exchange
T001102,C080,B046,6838.04,2025-01-11 22:12:48,Nigeria,SWIFT,DEV-02-C080,Fuel
T001043,C076,B112,23582.76,2025-01-11 23:08:32,UAE,Cash Deposit,DEV-02-C076,Fuel
T000813,C059,B250,19074.08,2025-01-11 23:09:48,UK,SWIFT,DEV-01-C059,Utilities
T000360,C022,B128,8719.77,2025-01-12 00:21:15,India,Cash Deposit,DEV-01-C022,Entertainment
T000273,C016,B263,11178.9,2025-01-12 01:12:50,Singapore,SWIFT,DEV-01-C016,Dining
T001622,C117,B221,15676.09,2025-01-12 01:34:03,USA,IMPS,DEV-01-C117,Jewelry
T000829,C060,B232,39085.0,2025-01-12 01:41:37,India,Cash Deposit,DEV-01-C060,Groceries
T001227,C090,B250,11457.28,2025-01-12 02:23:29,USA,RTGS,DEV-02-C090,Fuel
T001206,C088,B141,4106.0,2025-01-12 02:42:43,India,RTGS,DEV-03-C088,Jewelry
T000282,C017,B149,6947.98,2025-01-12 04:22:24,UK,NEFT,DEV-02-C017,Travel
T000086,C004,B262,4233.1,2025-01-12 05:28:27,UK,RTGS,DEV-01-C004,Dining
T000229,C014,B253,3817.92,2025-01-12 06:34:49,India,IMPS,DEV-03-C014,Travel
T002055,C149,B274,11545.76,2025-01-12 06:43:49,India,Cash Deposit,DEV-02-C149,Crypto Exchange
T001602,C116,B012,33426.14,2025-01-12 07:22:07,UAE,IMPS,DEV-03-C116,Entertainment
T000228,C014,B210,19086.46,2025-01-12 07:52:28,UAE,NEFT,DEV-01-C014,Dining
T001884,C138,B007,15455.88,2025-01-12 08:00:07,India,Cash Deposit,DEV-03-C138,Healthcare
T000568,C038,B157,10939.95,2025-01-12 08:30:38,UAE,UPI,DEV-03-C038,Travel
T000967,C071,B175,20752.11,2025-01-12 08:39:02,USA,UPI,DEV-03-C071,Crypto Exchange
T001665,C120,B190,6275.17,2025-01-12 12:44:41,USA,SWIFT,DEV-01-C120,Utilities
T002052,C149,B283,13744.9,2025-01-12 13:31:51,UAE,IMPS,DEV-01-C149,Jewelry
T000725,C053,B076,6751.64,2025-01-12 16:16:37,UK,IMPS,DEV-01-C053,Electronics
T002024,C147,B118,1308.62,2025-01-12 16:41:41,UAE,SWIFT,DEV-01-C147,Dining
T000146,C008,B119,19258.41,2025-01-12 17:08:54,Nigeria,IMPS,DEV-02-C008,Utilities
T001316,C094,B167,14869.75,2025-01-12 17:29:24,Nigeria,RTGS,DEV-03-C094,Travel
